# 検証バッチ: 読み間違えそうな例文 (ラウンド 11、ja-furigana 0.1.0-alpha.6 + dict v0.1.3)
#
# format: <input>\t<expected hiragana>\t<note>
# 各行 1 ケース、空行 / # コメントは無視。
# tools/verify_batch.sh で一括実行 → fail だけ出力。

# ─── 同形異音語 (heteronym): 文脈依存読み ─────────────────────────────────
人気のある店で、人気のない時間を狙う	にんきのあるみせで、ひとけのないじかんをねらう	人気→ヒトケ (next が 「のない」)
彼は上手だが、舞台の上手から登場する	かれはじょうずだが、ぶたいのかみてからとうじょうする	上手→カミテ (舞台文脈)
下手な絵だが、川の下手の岸に置く	へたなえだが、かわのしもてのきしにおく	下手→シモテ (川文脈)
今日は十分に時間がある	きょうはじゅうぶんにじかんがある	十分→ジュウブン
あと十分待ってください	あとじゅっぷんまってください	十分→ジュップン (時間)
一日中働いた	いちにちじゅうはたらいた	一日→イチニチ
六月一日に会いましょう	ろくがつついたちにあいましょう	一日→ツイタチ (日付)
市場で野菜を買う	いちばでやさいをかう	市場→イチバ
株式市場が活況	かぶしきしじょうがかっきょう	市場→シジョウ
工夫して直した	くふうしてなおした	工夫→クフウ
工夫が現場を直した	こうふがげんばをなおした	工夫→コウフ (職人)

# ─── 熟字訓 / 当て字: Lindera が読めない ─────────────────────────────────
今朝は流石に冷えた	けさはさすがにひえた	流石→サスガ
為替相場が変動した	かわせそうばがへんどうした	為替→カワセ
雪崩が発生した	なだれがはっせいした	雪崩→ナダレ
吹雪の中を歩く	ふぶきのなかをあるく	吹雪→フブキ
名残を惜しむ	なごりをおしむ	名残→ナゴリ
息子と娘が帰省する	むすことむすめがきせいする	息子娘 (熟字訓)
眼鏡を買い替えた	めがねをかいかえた	眼鏡→メガネ
土産を買って帰る	みやげをかってかえる	土産→ミヤゲ
時雨に濡れた紅葉	しぐれにぬれたもみじ	時雨/紅葉→熟字訓
五月雨が降り続く	さみだれがふりつづく	五月雨→サミダレ
七夕の願い事	たなばたのねがいごと	七夕→タナバタ
浴衣で花火を見る	ゆかたではなびをみる	浴衣→ユカタ

# ─── 連濁の判定: 苗字 / 地名 ─────────────────────────────────────────────
神田駅で降りる	かんだえきでおりる	神田→カンダ (place_names 既出)
三田の慶應義塾大学	みたのけいおうぎじゅくだいがく	三田→ミタ
本田技研の本社	ほんだぎけんのほんしゃ	本田→ホンダ (商標)
中田英寿は引退した	なかたひでとしはいんたいした	中田→ナカタ (人名)

# ─── 専門用語 / 学術系 ──────────────────────────────────────────────────
体裁を整える	ていさいをととのえる	体裁→テイサイ (lit. たいさい)
既出の議論だ	きしゅつのぎろんだ	既出→キシュツ
必須項目を埋める	ひっすこうもくをうめる	必須→ヒッス
利益を享受する	りえきをきょうじゅする	利益→リエキ
仏の利益にあずかる	ほとけのりやくにあずかる	利益→リヤク (仏教)
開眼手術を受ける	かいがんしゅじゅつをうける	開眼→カイガン (医学)
大仏の開眼供養	だいぶつのかいげんくよう	開眼→カイゲン (仏教)
寒気がする	さむけがする	寒気→サムケ (体感)
寒気団が南下する	かんきだんがなんかする	寒気→カンキ (気象)

# ─── 数字 / counter 系 ──────────────────────────────────────────────────
二十歳の誕生日	はたちのたんじょうび	二十歳→ハタチ
八月十五日は終戦日	はちがつじゅうごにちはしゅうせんび	十五日→ジュウゴニチ
三日坊主	みっかぼうず	三日→ミッカ
四月一日生まれ	しがつついたちうまれ	一日→ツイタチ
百個入りの箱	ひゃっこいりのはこ	百個→ヒャッコ
千円札を払う	せんえんさつをはらう	千円→センエン
一万円相当	いちまんえんそうとう	一万円→イチマンエン

# ─── その他 trap ────────────────────────────────────────────────────────
身体測定で背を測る	しんたいそくていでせをはかる	身体→シンタイ
身体を鍛える	からだをきたえる	身体→カラダ (口語)
今年の夏は暑い	ことしのなつはあつい	今年→コトシ
昨年比で増加	さくねんひでぞうか	昨年→サクネン
去年の話	きょねんのはなし	去年→キョネン
日本国憲法第9条	にほんこくけんぽうだいきゅうじょう	日本国憲法→
法隆寺の五重塔	ほうりゅうじのごじゅうのとう	法隆寺/五重塔→
